"","iso_code","year","collector","number","family","species","sp_code","qds","lat","long","pathway","weight","d.15NAIR","d.13CVPDB","X.N","X.C","C.N","d13_atmos","delta.disc","wetstart","wetend","wetlength","wetrain","wetdaily","wetlambda","avg_temp_anomaly","co2_ppm"
"13",13,1925,"Pole-Evans, I.B.","1528","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.651,1,-10.3,0.5,40.8,81.6,-6.968,3.366676771,125.5,308,182.5,901.65,4.91378444998812,10.4036717921527,0.226126119494438,305.06
"14",14,1932,"Smith, C.A.","6059","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.673,1.3,-9.6,1.6,42.5,26.9,-6.906,2.720113086,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"15",16,1925,"Robinson, M.","15","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.787,5.5,-11.3,2.2,40,17.9,-6.968,4.381511075,125.5,308,182.5,901.65,4.91378444998812,10.4036717921527,0.226126119494438,305.06
"16",17,1932,"Mogg, A.O.D.","12331","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.632,3.7,-11.6,1.5,42.9,29.2,-6.906,4.749089437,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"17",18,1932,"Smith, C.A.","6122","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.857,4.4,-10.5,1.8,42.9,23.3,-6.906,3.632137443,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"18",19,1971,"Hanekom, W.J.","1706","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.87,8.7,-10.5,1.3,43.2,32.4,-7.3475,3.185952501,101,300,199,876.3,4.3815,15.9327272727273,-0.718796193599701,325.32
"19",20,1919,"Stent, S.M.","PRE19940","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.92,4.5,-10.5,0.9,40.9,44.4,-6.94453502,3.593193512,139.5,262,122.5,551.2,4.46613707983193,10.9139607843138,-1.1985832452774,303.7
"20",21,1912,"Theiler, A.C.","TRV 12018","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.684,1.9,-11.3,1.2,41.5,34.9,-6.877314958,4.47323257,291,365,74,223.4,2.97866666666667,9.71304347826087,-0.537143707275391,299.31
"21",22,1932,"Smith, C.A.","6249","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.901,4.7,-10.7,1.6,40.8,25.1,-6.906,3.835034873,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"22",23,1951,"Liebenberg, L.C.C.","348A","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.683,5.2,-10.3,1.4,43.3,29.9,-6.993443595,3.340968379,144,319.666666666667,175.666666666667,549.566666666667,3.11038670604349,10.0561428571429,0.596425831317902,312.1
"23",24,1912,"Theiler, A.C.","TRV 12020","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.857,5.5,-10.3,2.2,41.5,19.2,-6.877314958,3.45830559,291,365,74,223.4,2.97866666666667,9.71304347826087,-0.537143707275391,299.31
"24",25,1936,"Chippindall, L.K.A.","240","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.795,3.8,-11,1.9,39.8,20.6,-6.939,4.106167846,170.333333333333,327,156.666666666667,638.966666666667,4.0939787244872,15.4605659616262,0.355068892240524,308.44
"25",26,1924,"Dickson, J.","56","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.584,2.3,-10.8,1.1,42.5,40.4,-6.887,3.955721795,133,264,131,513.2,3.88787878787879,8.60551782682513,-0.387745350599289,305.01
"26",27,1970,"Ellis, R.P.","134","Poaceae","Hyparrhenia hirta","HH","2528CA",-25.625,28.125,"C4",1.955,2.6,-11.5,1,42.1,41.9,-7.318156423,4.230494261,101,204,103,450.05,4.41705225773719,13.2027727272727,-0.242853567004204,324.09
"27",29,1932,"Smith, C.A.","6133","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.874,5.5,-10.8,1.2,42.7,35.6,-6.906,3.936514355,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"28",30,1932,"Smith, C.A.","6137","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.945,4,-10.9,1.5,40,27.3,-6.906,4.038014356,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"29",31,1932,"Smith, C.A.","6074","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.807,4.5,-10.3,1.8,40.7,22.3,-6.906,3.429322017,111,262,151,502.35,3.30493421052631,9.38925576519916,-0.264271795749664,306.76
"30",32,1952,"de Wet","20","Poaceae","Digitaria eriantha","DE","2528CA",-25.625,28.125,"C4",1.857,5.4,-10.8,2,39.9,20.1,-6.996541783,3.844984045,101,246,145,518.35,3.55036599099099,13.7700757575757,0.223674044013023,312.43
