year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda
2005,323,"Morrison, E; Klasen, M",4,Poaceae,Digitaria eriantha,DE,2231CA,22.4227,-22.4227,C4,1.718,6.8,-13.6,2.1,47.3,22.5,-8.206351483,5.4680135,118,240,122,293.29999999999995,13.9666666666667,13.9666666666667
1991,175,"Moss, H.",1770,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.87,-7,-25.4,1.3,44.2,34.5,-7.850039383,18.00734724,151,268,117,741,6.27966101694915,11.7619047619048
1964,8,"Oakes, A.C.J.",245,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.704,2.6,-11.7,0.4,42,103.8,-7.066939165,4.687909375,105,258,153,534.8333333333334,3.461230564707243,12.3526397011046
1931,134,"Obermeyer, A.A.",TRV 29134,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.882,5,-11.1,2,43,21.2,-6.9815,4.164728486,128.5,285.5,157,407.4,2.57848101265823,10.620051579626045
1944,155,"Parker, R.N.",3954,Poaceae,Koeleria capensis,KC,3418BB,-34.125,18.875,C3,1.896,1.4,-28.5,1.5,42.8,29.1,-7.079100425,22.04930476,127,277,150,718,4.75496688741722,11.5806451612903
2003,331,"Pettit, N",61,Poaceae,Digitaria eriantha,DE,2431DC,24.5753,-24.5753,C4,1.63,NA,-14.2,1.8,45.9,25.7,-8.15301815,6.134085869,156,315.5,159.5,191.39999999999998,7.35029761904762,7.975
1917,142,"Pole-Evans, I.B.",130,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.761,6.3,-9.6,1.2,42.3,33.9,-6.919656769,2.70632394,137.5,236.5,99,491,4.91446578631453,11.418604651162799
1922,94,"Pole-Evans, I.B.",489,Poaceae,Koeleria capensis,KC,3318CD,-33.875,18.375,C3,1.797,2.6,-28.2,1.5,43.4,29.7,-6.857960447,21.96134961,123.5,250.5,127,459.05,3.586328125,7.762529274004685
1925,13,"Pole-Evans, I.B.",1528,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.651,1,-10.3,0.5,40.8,81.6,-6.968,3.366676771,125.5,308,182.5,901.65,4.913784449988125,10.403671792152725
1931,290,"Pole-Evans, I.B.",3121,Poaceae,Digitaria eriantha,DE,2626DD,-26.875,26.875,C4,1.858,2.6,-10.5,1.7,45.3,26,-6.9815,3.555836281,151.5,292.5,141,464.65,3.2980661040787647,13.8496951219512
