iso_code,X,qds,year,collector,number,family,species,sp_code,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda,avg_temp_anomaly,co2_ppm
106,324,3418AB,1946,"Adamson, R.S.",3718,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.758,1.5,-29.6,2,43.3,21.9,-6.983,23.30688376,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,0.7806218564510345,311.74
107,327,3418AB,1974,"Ellis, R.P.",2312,Poaceae,Pentameris pallida,PP,-34.125,18.375,C3,1.943,1.1,-28.1,0.9,42.9,48.3,-7.483,21.21308777,125,263,138,745.44406779661006,5.50035162839452,13.4901802844359,-0.5941168963909149,329.19
108,97,2528CB,1970,"Ellis, R.P.",158,Poaceae,Hyparrhenia hirta,HH,-25.625,28.375,C4,1.955,4.1,-10.8,0.6,42.9,77.4,-7.318156423,3.519858044,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,-0.3737944960594177,324.09
109,98,2528CB,1983,"Smook, L.",4795,Poaceae,Hyparrhenia hirta,HH,-25.625,28.375,C4,1.876,4.3,-11.1,1.5,43.3,28.3,-7.65725,3.481393467,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,-0.6861168742179871,340.22
110,101,2528CB,1972,"Ellis, R.P.",1122,Poaceae,Digitaria eriantha,DE,-25.625,28.375,C4,1.869,3,-10.9,0.9,42.9,45.7,-7.356,3.583055303,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,0.15305562317371368,326.61
111,91,2528CB,1973,"Ellis, R.P.",1778,Poaceae,Digitaria eriantha,DE,-25.625,28.375,C4,1.777,3.8,-11.9,1.1,41.4,36.2,-7.39275,4.561532234,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,-0.5151149034500122,327.92
112,99,2528CB,1979,"van Rooyen, N.",2529,Poaceae,Digitaria eriantha,DE,-25.625,28.375,C4,1.762,3,-11.9,0.5,45.2,91.1,-7.539666667,4.412846203,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,0.15207324922084808,334.91
113,96,2528CB,1980,"Balsinhas, A.A.",3463,Poaceae,Hyparrhenia hirta,HH,-25.625,28.375,C4,1.838,7.3,-11.7,2,42.1,21.6,-7.5705,4.178387129,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,7.492639124393463e-4,336.14
114,94,2528CB,2004,"Smook, L.",11433,Poaceae,Digitaria eriantha,DE,-25.73861111,28.27944444,C4,1.732,1.9,-12.5,1.4,42.7,30.2,-8.176351483,4.378378245,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,0.31367871165275574,374.093794
116,93,2528CB,1930,"Goossens, A.P.G.",128,Poaceae,Hyparrhenia hirta,HH,-25.625,28.375,C4,1.671,4.7,-10.7,1,42.3,43.2,-6.933243381,3.807496835,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,0.24091430008411407,306.3
117,92,2528CB,1975,"Du Toit, P.C.V.",715,Poaceae,Hyparrhenia hirta,HH,-25.625,28.375,C4,1.896,4.3,-11.4,1.2,43.5,36,-7.417666667,4.028255445,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,-0.5231469869613647,330.41
119,100,2528CB,1975,"Du Toit, P.C.V.",717,Poaceae,Hyparrhenia hirta,HH,-25.625,28.375,C4,1.741,-1.5,-11.7,0.9,41.5,48.5,-7.417666667,4.333029782,117,263,146,577.614814814815,4.03435535894242,12.8196704180177,-0.5231469869613647,330.41
120,155,2627BB,1997,"Reddy, R.A.",1011,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.611,1.5,-12.2,1.6,43.1,27.1,-8.00226815,4.249576686,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,0.0385223813354969,360.6671273333333
121,161,2627BB,1998,"Reddy, R.A.",1062,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.607,0.2,-12.3,0.9,43.7,47.8,-8.051092408,4.301819977,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,1.3399485349655151,363.173794
122,157,2627BB,1998,"Reddy, R.A.",1085,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.834,-7.9,-13.2,1.1,42.6,37.3,-8.051092408,5.217782318,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,1.3399485349655151,363.173794
123,158,2627BB,1997,"Reddy, R.A.",155,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.68,2.7,-12.2,0.5,44.5,91.7,-8.00226815,4.249576686,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,0.0385223813354969,360.6671273333333
124,156,2627BB,1998,"Reddy, R.A.",1475,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.656,1,-13.5,1.5,41.8,27,-8.051092408,5.523474497,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,1.3399485349655151,363.173794
125,159,2627BB,1998,"Reddy, R.A.",1094,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.836,-1.6,-12.2,1.1,45.1,39.9,-8.051092408,4.200149415,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,1.3399485349655151,363.173794
126,163,2627BB,1984,"Robinson, E.R.",10,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.625,4,-11.4,1.4,41.5,29.8,-7.6955,3.747218288,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,-0.4690435826778412,341.66
127,154,2627BB,1969,"Mogg, A.O.D.",34154,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.658,1.9,-12,0.3,45.4,129.8,-7.305,4.752024291,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,-0.2064688503742218,322.93
128,162,2627BB,1937,"Cohen, E.",671,Poaceae,Hyparrhenia hirta,HH,-26.125,27.875,C4,1.681,1.7,-10.6,1,42.2,42.6,-6.95,3.689104508,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,0.20719896256923676,309.01
129,160,2627BB,2001,"Meyer, J.J.",BP00748,Poaceae,Hyparrhenia hirta,HH,-26.08611111,27.84194444,C4,1.778,0.2,-11.9,0.6,44.1,76.5,-8.074354535,3.87171892,115,269,155,639.335378787879,4.29514446476025,10.6565340801397,0.9042928814888,368.5070082857143
130,104,2528CC,1985,Ekokonsult,33-41,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.927,1.3,-12.1,1.8,43.4,24.6,-7.706,4.447818605,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.1149517074227333,343.13
131,115,2528CC,1929,"Skea, D.",69,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.621,2,-10.3,2.3,44.4,19.5,-6.841285714,3.494709797,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.03227221220731735,306.12
132,110,2528CC,1974,"Kok, P.D.F.",518,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.813,0,-10.8,1.1,44.2,40.4,-7.483,3.353214719,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.5882095694541931,329.19
133,116,2528CC,1997,"Riddles, L.M.D.",34,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.691,1.5,-12.7,0.6,43,66.9,-8.00226815,4.758160488,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,0.0385223813354969,360.6671273333333
134,108,2528CC,1931,"Obermeyer, A.A.",TRV 29134,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.882,5,-11.1,2,43,21.2,-6.9815,4.164728486,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,0.25591185688972473,306.5
135,107,2528CC,1903,"Burtt Davy, J.",33,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.851,3.5,-11,1.1,45.2,41.4,-6.765,4.282103134,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.5575916767120361,296.42
136,106,2528CC,1921,"Pole-Evans, I.B.",217,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.693,4.9,-10.7,1.6,43,27.2,-6.89513872,3.846013626,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.5034263730049133,304.46
137,112,2528CC,1925,"McClean, A.P.D.",20,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.711,2.5,-10,2.5,45,18.3,-6.968,3.062626263,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.23752760887145996,305.06
138,113,2528CC,1929,"Mogg, A.O.D.",PRE 7969,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.966,1.7,-10.5,1.9,43.7,22.9,-6.841285714,3.697538439,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.03227221220731735,306.12
139,122,2528CC,1997,"Riddles, L.M.D.",46,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.834,3.4,-12.2,1.1,44.6,39.8,-8.00226815,4.249576686,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,0.0385223813354969,360.6671273333333
140,120,2528CC,1974,"Kok, P.D.F.",517,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.74,2.7,-11.9,1.2,43.1,36.4,-7.483,4.470195324,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.5882095694541931,329.19
141,191,2829CC,1978,"Smook, L.",1078,Poaceae,Koeleria capensis,KC,-28.875,29.125,C3,1.734,-1.6,-26.5,2.2,43.6,19.9,-7.502,19.51515152,116,260,144,808.689130434783,5.8291266352446,16.6518772237104,-0.17278741300106049,333.77
142,111,2528CC,1917,"Pole-Evans, I.B.",130,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.761,6.3,-9.6,1.2,42.3,33.9,-6.919656769,2.70632394,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.988039493560791,302.59
143,117,2528CC,1953,"Godfrey, R.K.",SH 1794,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.785,6.1,-11.4,1.9,43.8,23,-7.010270232,4.440349755,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,0.18216966092586517,312.85
144,119,2528CC,1934,"Pole-Evans, I.B.",3690,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.85,4.3,-10.3,1.4,45.7,32,-6.961154178,3.373593838,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.001896349131129682,307.44
145,102,2528CC,1925,"Hector, J.",1010,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.894,4.4,-10.6,2.1,43.5,20.8,-6.968,3.670911664,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.23752760887145996,305.06
146,121,2528CC,1922,"Pole-Evans, I.B.",342,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.835,4.3,-10.6,1.3,45.7,36,-6.857960447,3.782130132,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.7530612945556641,304.76
147,118,2528CC,1925,"McClean, A.P.D.",31,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.854,4.1,-10.4,1.9,46.1,23.9,-6.968,3.468067906,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.23752760887145996,305.06
148,105,2528CC,1925,"Hector, J.",1011,Poaceae,Hyparrhenia hirta,HH,-25.875,28.125,C4,1.899,4,-9.7,1.2,42.1,34,-6.968,2.758759972,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.23752760887145996,305.06
149,109,2528CC,1922,"Pole-Evans, I.B.",427,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.961,3.4,-10.2,1.2,43.3,34.7,-6.857960447,3.376479645,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.7530612945556641,304.76
150,103,2528CC,1928,"Bevan, N.",PRE 7602,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.94,4.5,-10.8,1.6,43.4,26.4,-6.8392439,4.003999293,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,0.34281131625175476,305.87
151,114,2528CC,1929,"Stent, S.M.",PRE 8088,Poaceae,Digitaria eriantha,DE,-25.875,28.125,C4,1.803,4.2,-10.6,1.6,42.2,25.7,-6.841285714,3.798983511,111,263,152,628.327743902439,4.27547432107503,11.6883379102386,-0.03227221220731735,306.12
152,337,3418BB,1929,"Sandwith, C.",103B,Poaceae,Koeleria capensis,KC,-34.125,18.875,C3,1.74,4.2,-26.8,1.1,43.5,40.8,-6.841285714,20.50833774,121,258,137,528.991208791209,4.02020072367948,11.7642646291294,0.012658554129302502,306.12
153,336,3418BB,1981,"McDonald, D.J.",620,Poaceae,Koeleria capensis,KC,-34.125,18.875,C3,1.761,-3.1,-24.9,1,44.9,44.7,-7.610985883,17.73050366,121,258,137,528.991208791209,4.02020072367948,11.7642646291294,-0.319122850894928,337.45
154,334,3418BB,1978,"Boucher, C.",3490,Poaceae,Koeleria capensis,KC,-34.125,18.875,C3,1.822,-1.2,-27.5,0.8,43.8,57.8,-7.502,20.56349614,121,258,137,528.991208791209,4.02020072367948,11.7642646291294,-0.759836882352829,333.77
155,333,3418BB,1944,"Parker, R.N.",3954,Poaceae,Koeleria capensis,KC,-34.125,18.875,C3,1.896,1.4,-28.5,1.5,42.8,29.1,-7.079100425,22.04930476,121,258,137,528.991208791209,4.02020072367948,11.7642646291294,0.08876209892332554,311.86
156,335,3418BB,1921,"Rogers, F.A.",26640,Poaceae,Koeleria capensis,KC,-34.125,18.875,C3,1.863,3.7,-28,0.5,40.2,74.6,-6.89513872,21.71282025,121,258,137,528.991208791209,4.02020072367948,11.7642646291294,-0.1646127998828888,304.46
158,338,3419BD,1976,"Du Toit, P.C.V.",1877,Poaceae,Koeleria capensis,KC,-34.375,19.875,C3,1.624,-2.2,-27.8,1.9,42.9,22.8,-7.4425,20.93962148,117,254,138,301.907766990291,2.67879456359994,9.06215513753926,-0.6013559103012085,331.57
159,339,3419BD,1978,"Cleghorn, W.B.",3150,Poaceae,Koeleria capensis,KC,-34.375,19.875,C3,1.759,-1.8,-25.8,1.1,43.9,38.4,-7.502,18.78259084,117,254,138,301.907766990291,2.67879456359994,9.06215513753926,-0.7780553698539734,333.77
160,340,3419BD,1978,"Cleghorn, W.B.",3115,Poaceae,Koeleria capensis,KC,-34.375,19.875,C3,1.771,0.1,-27.6,1.5,43.9,28.8,-7.502,20.6684492,117,254,138,301.907766990291,2.67879456359994,9.06215513753926,-0.7780553698539734,333.77
161,310,3319AD,1988,"Spies, J.J.",3859,Poaceae,Pentameris pallida,PP,-33.375,19.375,C3,1.659,-3.6,-29.5,2.5,44.2,17.7,-7.804333333,22.3551434,120,253,133,427.621428571429,3.49466265422855,11.2740667732323,0.44453325867652893,347.79
162,312,3319AD,1948,"Liebenberg, L.C.C.",4325,Poaceae,Pentameris pallida,PP,-33.375,19.375,C3,1.807,-1.6,-29.8,1.5,44.6,29.3,-7.043,23.45598846,120,253,133,427.621428571429,3.49466265422855,11.2740667732323,-0.25268396735191345,311.55
163,315,3319AD,1953,"Esterhuysen, E.E.",22241,Poaceae,Pentameris pallida,PP,-33.375,19.375,C3,1.721,1.4,-29.5,1.3,43.9,34.9,-7.010270232,23.1733434,120,253,133,427.621428571429,3.49466265422855,11.2740667732323,0.07585608959197998,312.85
164,314,3319AD,1988,"Spies, J.J.",3860,Poaceae,Pentameris pallida,PP,-33.375,19.375,C3,1.912,8,-29.6,1.6,45.2,28.1,-7.804333333,22.46049739,120,253,133,427.621428571429,3.49466265422855,11.2740667732323,0.44453325867652893,347.79
165,311,3319AD,1973,"Esterhuysen, E.E.",33339,Poaceae,Pentameris pallida,PP,-33.375,19.375,C3,1.702,5.4,-29.9,0.7,45.9,63.4,-7.39275,23.20095866,120,253,133,427.621428571429,3.49466265422855,11.2740667732323,-0.30543002486228943,327.92
166,313,3319AD,1979,"Goldblatt, P.",5234,Poaceae,Pentameris pallida,PP,-33.375,19.375,C3,1.797,-2.5,-29.4,1.2,43.8,35.3,-7.539666667,22.52249468,120,253,133,427.621428571429,3.49466265422855,11.2740667732323,-0.1027711033821106,334.91
167,207,2929BC,1983,"Hilliard, O.M.",16964,Poaceae,Koeleria capensis,KC,-29.375,29.625,C3,1.674,-2.1,-27,1,42.5,41.5,-7.65725,19.8794964,111,270,159,759.490697674419,4.86554398090153,11.2433913890195,-0.17890778183937073,340.22
168,206,2929BC,1978,"Smook, L.",1061,Poaceae,Koeleria capensis,KC,-29.375,29.625,C3,1.929,4.8,-26.4,1.3,43.9,33.1,-7.502,19.4104355,111,270,159,759.490697674419,4.86554398090153,11.2433913890195,-0.26928964257240295,333.77
169,209,2929BC,1977,"Du Toit, P.C.V.",2503,Poaceae,Koeleria capensis,KC,-29.375,29.625,C3,1.81,0.2,-26.5,2.2,44.2,20,-7.4844,19.53323061,111,270,159,759.490697674419,4.86554398090153,11.2433913890195,0.042544495314359665,332.67
170,204,2929BC,2004,"de Wet, S.F.",861,Poaceae,Koeleria capensis,KC,-29.27416667,29.67194444,C3,1.766,-1.7,-30.7,1.9,42.8,22.4,-8.176351483,23.23702519,111,270,159,759.490697674419,4.86554398090153,11.2433913890195,0.12473902106285095,374.093794
172,205,2929BC,1918,"Mogg, A.O.D.",3271,Poaceae,Koeleria capensis,KC,-29.375,29.625,C3,1.701,1.4,-26.6,1.7,42.1,25.1,-6.938044526,20.19925567,111,270,159,759.490697674419,4.86554398090153,11.2433913890195,-0.28225719928741455,303.2
173,213,2929CB,1975,"Du Toit, P.C.V.",696,Poaceae,Koeleria capensis,KC,-29.625,29.375,C3,1.744,-3.9,-27.2,1.7,44.2,26.4,-7.417666667,20.33545779,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,-0.08353682607412338,330.41
174,211,2929CB,1982,"Manning, J.C.",15904,Poaceae,Koeleria capensis,KC,-29.625,29.375,C3,1.803,-4.6,-26.5,1.1,43.9,40.8,-7.643,19.3703133,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,-0.024565229192376137,338.81
175,210,2929CB,1991,"Moss, H.",1770,Poaceae,Koeleria capensis,KC,-29.625,29.375,C3,1.87,-7,-25.4,1.3,44.2,34.5,-7.850039383,18.00734724,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,-0.35267797112464905,352.31
176,214,2929CB,1962,"Acocks, J.P.H.",22153,Poaceae,Koeleria capensis,KC,-29.625,29.375,C3,1.618,-0.8,-26.6,1.4,43.4,30.5,-7.091,20.0421204,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,0.22182604670524597,316.87
177,217,2929CB,1975,"Du Toit, P.C.V.",704A,Poaceae,Koeleria capensis,KC,-29.625,29.375,C3,1.711,-5.3,-28,1.4,44.8,32.3,-7.417666667,21.17524005,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,-0.08353682607412338,330.41
178,218,2929CB,1975,"Du Toit, P.C.V.",705,Poaceae,Koeleria capensis,KC,-29.625,29.375,C3,1.644,-3.4,-27.8,1.4,44.7,32.9,-7.417666667,20.96516492,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,-0.08353682607412338,330.41
179,216,2929CB,1975,"Du Toit, P.C.V.",703,Poaceae,Koeleria capensis,KC,-29.625,29.375,C3,1.773,-3.6,-28.1,1.7,44.2,26.1,-7.417666667,21.28031005,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,-0.08353682607412338,330.41
180,212,2929CB,1977,"Du Toit, P.C.V.",2299,Poaceae,Koeleria capensis,KC,-29.625,29.375,C3,1.921,0.4,-26.3,2.5,43.1,17.3,-7.4844,19.32381637,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,0.042544495314359665,332.67
181,215,2929CB,2002,"Burgoyne, P.M.",9086,Poaceae,Koeleria capensis,KC,-29.61888889,29.3725,C3,1.778,-0.3,-29,1.8,40.7,22.6,-8.12401815,21.49946637,119,268,149,769.111290322581,5.27836606616621,11.0496443051821,0.7276903390884399,369.95212733333335
183,199,2929AD,1979,"Smook, L.",1383,Poaceae,Koeleria capensis,KC,-29.375,29.375,C3,1.758,1.2,-25.6,2.2,44.2,20.1,-7.539666667,18.53482485,118,262,144,753.128070175439,5.31597867648092,14.3806596776373,0.08231114596128464,334.91
184,197,2829CC,1951,"Killick, D.J.B.",1301,Poaceae,Koeleria capensis,KC,-28.875,29.125,C3,1.85,0.4,-25.6,1.2,42.3,36.2,-6.993443595,19.09539861,116,260,144,808.689130434783,5.8291266352446,16.6518772237104,0.36508890986442566,312.1
185,202,2929AD,1914,"Symons, R.E.",176,Poaceae,Koeleria capensis,KC,-29.375,29.375,C3,1.79,-0.8,-25.8,1.4,42.9,30,-6.867667056,19.433723,118,262,144,753.128070175439,5.31597867648092,14.3806596776373,-0.8166961669921875,300.55
186,203,2929AD,1914,"Symons, R.E.",158,Poaceae,Koeleria capensis,KC,-29.375,29.375,C3,1.787,-4.1,-26.9,1.2,41.8,35.6,-6.867667056,20.58609901,118,262,144,753.128070175439,5.31597867648092,14.3806596776373,-0.8166961669921875,300.55
187,200,2929AD,1955,"Jacot Guillarmod, A.F.M.G.",2360,Poaceae,Koeleria capensis,KC,-29.375,29.375,C3,1.822,2.3,-26.8,1.3,41.7,31.3,-7.049520585,20.29436849,118,262,144,753.128070175439,5.31597867648092,14.3806596776373,0.34431421756744385,313.95
188,201,2929AD,1955,"Jacot Guillarmod, A.F.M.G.",2344,Poaceae,Koeleria capensis,KC,-29.375,29.375,C3,1.608,-0.2,-25.6,2.7,62.1,22.7,-7.049520585,19.03784833,118,262,144,753.128070175439,5.31597867648092,14.3806596776373,0.34431421756744385,313.95
189,172,2628AA,1919,"Bryant, E.G.",A23,Poaceae,Hyparrhenia hirta,HH,-26.125,28.125,C4,1.799,10.1,-10.4,2.1,45.6,22,-6.94453502,3.491779487,114,269,154,655.17366285403,4.36000493064032,10.7908647181566,-1.0996263027191162,303.7
190,176,2628AA,1908,"Leendertz, R.",TRV 6168,Poaceae,Hyparrhenia hirta,HH,-26.125,28.125,C4,1.771,1,-10.1,2.5,44.2,17.5,-6.838275076,3.295004469,114,269,154,655.17366285403,4.36000493064032,10.7908647181566,-0.6610938906669617,298.1
191,174,2628AA,1933,"Meebold, A.",13885,Poaceae,Hyparrhenia hirta,HH,-26.125,28.125,C4,1.665,8,-11.9,1.2,42.6,37,-6.912,5.048072057,114,269,154,655.17366285403,4.36000493064032,10.7908647181566,-0.8807837963104248,307.07
192,175,2628AA,1937,"Cohen, E.",672,Poaceae,Hyparrhenia hirta,HH,-26.125,28.125,C4,1.668,9.4,-9.3,1.8,42,23.4,-6.95,2.372060159,114,269,154,655.17366285403,4.36000493064032,10.7908647181566,0.20719896256923676,309.01
193,171,2628AA,1998,"Reddy, R.A.",1301,Poaceae,Hyparrhenia hirta,HH,-26.125,28.125,C4,1.668,-5.5,-12.3,0.9,43.4,50.9,-8.051092408,4.301819977,114,269,154,655.17366285403,4.36000493064032,10.7908647181566,1.3399485349655151,363.173794
194,170,2628AA,1997,"Reddy, R.A.",178,Poaceae,Hyparrhenia hirta,HH,-26.125,28.125,C4,1.618,-4.6,-12.4,1.8,44.4,25,-8.00226815,4.45294841,114,269,154,655.17366285403,4.36000493064032,10.7908647181566,0.0385223813354969,360.6671273333333
195,173,2628AA,1934,"van O'Bruyn, O.",154,Poaceae,Hyparrhenia hirta,HH,-26.125,28.125,C4,1.726,-2.4,-10.4,1.6,44.7,28.6,-6.961154178,3.474985673,114,269,154,655.17366285403,4.36000493064032,10.7908647181566,-0.001896349131129682,307.44
196,168,2627CA,1986,"Jeffers, L.N.",505,Poaceae,Digitaria eriantha,DE,-26.625,27.125,C4,1.725,1.8,-12.7,2.5,45.5,18,-7.734,5.029879469,118,267,149,506.679265232975,3.49774725239463,11.0868275260232,-0.09755821526050568,344.66
197,166,2627CA,1979,"Brooks, W.",85,Poaceae,Digitaria eriantha,DE,-26.625,27.125,C4,1.862,1.2,-10.9,1.3,42.9,32.8,-7.539666667,3.397364608,118,267,149,506.679265232975,3.49774725239463,11.0868275260232,-0.13463591784238815,334.91
198,169,2627CA,1911,"Burtt Davy, J.",11459,Poaceae,Digitaria eriantha,DE,-26.625,27.125,C4,1.886,5,-11.1,2.4,46.1,19,-6.888546675,4.258725175,118,267,149,506.679265232975,3.49774725239463,11.0868275260232,-0.8201043009757996,298.83
199,164,2627CA,1988,"Saayman, E.J.L.",146,Poaceae,Digitaria eriantha,DE,-26.625,27.125,C4,1.811,-1.2,-11.8,2.6,43.9,16.8,-7.804333333,4.043378533,118,267,149,506.679265232975,3.49774725239463,11.0868275260232,0.8090784251689911,347.79
200,165,2627CA,1974,"Kok, P.",618,Poaceae,Digitaria eriantha,DE,-26.625,27.125,C4,1.783,1.6,-11.5,1.5,44.2,28.9,-7.483,4.063732929,118,267,149,506.679265232975,3.49774725239463,11.0868275260232,-0.4338768869638443,329.19
201,167,2627CA,1931,"Pole-Evans, I.B.",3120,Poaceae,Digitaria eriantha,DE,-26.625,27.125,C4,1.594,2,-10.9,1.9,42.2,22.6,-6.9815,3.961682337,118,267,149,506.679265232975,3.49774725239463,11.0868275260232,0.2586982697248459,306.5
202,295,3318DD,1959,"van Rensburg, W.L.J.",248,Poaceae,Pentameris pallida,PP,-33.875,18.875,C3,1.87,1.4,-27.2,2.2,42.6,19.6,-7.067,20.69592928,120,256,136,505.404,4.21314870861225,11.0829110650557,0.05568337067961693,315.19
203,298,3318DD,1975,"Haynes, R.A.",1199,Poaceae,Pentameris pallida,PP,-33.875,18.875,C3,1.562,0.9,-27.3,2.3,47.3,20.6,-7.417666667,20.44035503,120,256,136,505.404,4.21314870861225,11.0829110650557,-0.4328303635120392,330.41
205,286,3318DD,1964,"Taylor, H.C.",6031,Poaceae,Pentameris pallida,PP,-33.875,18.875,C3,1.869,-0.4,-28.5,1,43.8,46,-7.066939165,22.06182278,120,256,136,505.404,4.21314870861225,11.0829110650557,0.12007640302181244,318.59
206,296,3318DD,1974,"Ellis, R.P.",2210,Poaceae,Pentameris pallida,PP,-33.875,18.875,C3,1.783,1.9,-28.8,0.9,39.2,44.1,-7.483,21.94913509,120,256,136,505.404,4.21314870861225,11.0829110650557,-0.4925426244735718,329.19
207,300,3318DD,1961,"van der Merwe, P.",25-8,Poaceae,Pentameris pallida,PP,-33.875,18.875,C3,1.811,-0.4,-29.4,1.1,39.2,36.9,-7.10056577,22.974896179999998,120,256,136,505.404,4.21314870861225,11.0829110650557,0.15342244505882263,316.05
208,299,3318DD,1960,"van der Merwe, P.",24-26,Poaceae,Pentaschistis pallida,PP,-33.875,18.875,C3,1.833,-1.4,-27.9,2.6,45.8,17.5,-7.084214775,21.41321389,120,256,136,505.404,4.21314870861225,11.0829110650557,0.17936605215072632,315.49
209,304,3318DD,1944,"Liebenberg, LCC",4046,Poaceae,Pentaschistis pallida,PP,-33.875,18.875,C3,1.568,6.6,-29.5,0.4,40.6,92.3,-7.079100425,23.10242099,120,256,136,505.404,4.21314870861225,11.0829110650557,0.08626079559326172,311.86
210,297,3318DD,1974,"Ellis, R.P.",2229,Poaceae,Pentameris pallida,PP,-33.875,18.875,C3,1.912,-2.9,-30.4,1.9,45.3,23.5,-7.483,23.6355198,120,256,136,505.404,4.21314870861225,11.0829110650557,-0.4925426244735718,329.19
211,293,3318DD,1941,"Adamson, R.S.",3277,Poaceae,Pentameris pallida,PP,-33.875,18.875,C3,1.707,1.3,-29.4,1.7,44.3,26,-6.999,23.07953843,120,256,136,505.404,4.21314870861225,11.0829110650557,-0.21358978748321533,311.01
212,292,3318DD,1949,"Esterhuysen, EE",15995,Poaceae,Pentameris pallida,PP,-33.875,18.875,C3,1.901,3.6,-29.2,2.5,44.7,18,-7.03233859,22.83442667,120,256,136,505.404,4.21314870861225,11.0829110650557,-0.4247433841228485,311.62
