iso_code,X,qds,year,collector,number,family,species,sp_code,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda,avg_temp_anomaly,co2_ppm
21,78,2528CA,1912,"Theiler, A.C.",TRV 12018,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.684,1.9,-11.3,1.2,41.5,34.9,-6.877314958,4.47323257,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.9873712062835693,299.31
22,57,2528CA,1932,"Smith, C.A.",6249,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.901,4.7,-10.7,1.6,40.8,25.1,-6.906,3.835034873,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
23,86,2528CA,1951,"Liebenberg, L.C.C.",348A,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.683,5.2,-10.3,1.4,43.3,29.9,-6.993443595,3.340968379,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.36508890986442566,312.1
24,66,2528CA,1912,"Theiler, A.C.",TRV 12020,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.857,5.5,-10.3,2.2,41.5,19.2,-6.877314958,3.45830559,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.9873712062835693,299.31
25,43,2528CA,1936,"Chippindall, L.K.A.",240,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.795,3.8,-11,1.9,39.8,20.6,-6.939,4.106167846,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.19049422442913055,308.44
26,67,2528CA,1924,"Dickson, J.",56,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.584,2.3,-10.8,1.1,42.5,40.4,-6.887,3.955721795,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.36634835600852966,305.01
27,90,2528CA,1970,"Ellis, R.P.",134,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.955,2.6,-11.5,1,42.1,41.9,-7.318156423,4.230494261,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.3737944960594177,324.09
28,79,2528CA,1953,"Godfrey, R.K.",SVH1801,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.718,6.8,-10.2,1.6,42.9,27.1,-7.010270232,3.222600291,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.18216966092586517,312.85
29,80,2528CA,1932,"Smith, C.A.",6133,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.874,5.5,-10.8,1.2,42.7,35.6,-6.906,3.936514355,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
30,53,2528CA,1932,"Smith, C.A.",6137,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.945,4,-10.9,1.5,40,27.3,-6.906,4.038014356,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
31,88,2528CA,1932,"Smith, C.A.",6074,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.807,4.5,-10.3,1.8,40.7,22.3,-6.906,3.429322017,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
32,54,2528CA,1952,de Wet,20,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.857,5.4,-10.8,2,39.9,20.1,-6.996541783,3.844984045,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.22367404401302338,312.43
33,45,2528CA,1932,"Smith, C.A.",6248,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.717,6.3,-10.9,2.4,41.8,17.5,-6.906,4.038014356,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
34,76,2528CA,1932,"Smith, C.A.",6078B,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.653,3.9,-10.3,1.3,42.2,33.4,-6.906,3.429322017,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
35,42,2528CA,1929,"Skea, D.",65,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.764,2.7,-10.6,1.2,41.1,35,-6.841285714,3.798983511,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.03227221220731735,306.12
36,52,2528CA,1932,"Mogg, A.O.D.",12329,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.701,7.3,-11.1,1.6,43.6,27.9,-6.906,4.241075943,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
37,46,2528CA,1932,"Smith, C.A.",6070,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.676,3.4,-10.7,2,42.7,21,-6.906,3.835034873,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
38,62,2528CA,1932,"Mogg, A.O.D.",12330,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.651,6.8,-9.5,2.5,43.5,17.3,-6.906,2.618879354,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
39,40,2528CA,1953,de Wet,23A,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.847,3.2,-10.1,1.3,41.7,33,-7.010270232,3.121254438,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.18216966092586517,312.85
40,84,2528CA,1932,"Smith, C.A.",6238,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.531,3,-10.3,1.3,42,32.7,-6.906,3.429322017,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
41,69,2528CA,1972,"Ellis, R.P.",1327,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.898,6.7,-11.7,1.7,42.9,25.5,-7.356,4.39542649,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.15305562317371368,326.61
42,72,2528CA,1932,"Smith, C.A.",6072,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.856,5.2,-10.7,1.4,41.1,28.6,-6.906,3.835034873,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
43,81,2528CA,1972,"Ellis, R.P.",1028,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.784,1.8,-10.9,2.6,44.5,17.3,-7.356,3.583055303,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.15305562317371368,326.61
44,47,2528CA,1932,"Smith, C.A.",6078,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.983,4.4,-10.4,1.7,42.8,25.6,-6.906,3.530719483,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.2642717957496643,306.76
45,68,2528CA,1924,"Dickson, J.",PRE 54,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.907,1.7,-9.5,1.2,42.4,35.9,-6.887,2.638061585,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.36634835600852966,305.01
46,44,2528CA,1978,"Manders, R.",1,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.945,1.5,-12.1,1,42.6,41.3,-7.502,4.654317239,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.17278741300106049,333.77
47,49,2528CA,1913,Theiler,TRV 26678,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.845,7.2,-10.3,1.9,40.5,21.7,-6.867,3.468727897,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.8502463102340698,299.91
48,39,2528CA,1905,"Burtt Davy, J.",3802,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.546,5.7,-11.1,1.7,39.5,23,-6.829,4.318940237,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.6359480023384094,297.31
49,75,2528CA,1970,"Ellis, R.P.",126,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.621,5.3,-11.5,2,42.4,21.6,-7.318156423,4.230494261,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.3737944960594177,324.09
50,63,2528CA,1926,"Smith, C.A.",2296,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.823,12.2,-10.5,3.3,44.1,13.5,-6.966800343,3.570691922,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.28891846537590027,305.23
51,87,2528CA,1908,"Leendertz, R.",TRV 3886,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.642,0.4,-10.2,0.6,43.1,71.7,-6.838275076,3.396367876,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-0.6610938906669617,298.1
52,85,2528CA,1931,"Mogg, A.O.D.",16472,Poaceae,Digitaria eriantha,DE,-25.625,28.125,C4,1.788,3,-11.3,1.2,43.5,37,-6.9815,4.367856782,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,0.25591185688972473,306.5
53,65,2528CA,1919,"Stent, S.M.",PRE 19939,Poaceae,Hyparrhenia hirta,HH,-25.625,28.125,C4,1.738,5.9,-10.2,1.2,42,35.7,-6.94453502,3.289012912,117,267,150,596.847389558233,4.12474711540425,12.3957480950347,-1.0996263027191162,303.7
54,265,3318CD,1976,"Du Toit, P.C.V.",1527,Poaceae,Hyparrhenia hirta,HH,-33.875,18.375,C4,1.64,3,-11.1,0.9,43.9,47.7,-7.4425,3.698553949,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.4923199415206909,331.57
55,282,3318CD,1935,"Esterhuysen, E.E.",589,Poaceae,Koeleria capensis,KC,-33.875,18.375,C3,1.938,1.2,-27.4,1.3,42.2,31.9,-6.976,20.9993831,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,0.12033675611019135,307.9
56,254,3318CD,1897,"Wolley-Dod, A.H.",3558,Poaceae,Pentameris pallida,PP,-33.95,18.46666667,C3,1.63,5.6,-29,1.6,41.4,25.9,-6.796333333,22.86680398,119,256,137,539.374768518519,4.09574915607499,9.58492371611717,-0.27284473180770874,293.99
